,fighter_name,Height_cm,Weight_kg,Reach_cm,Stance,SLpM,Str_Acc%,Strikes_absorbed/m,Str_Def%,TD_Avg,TD_Def%,Sub_Avg,weight_class,TD_Acc
1892,Steve Berger,180.34,77,73,Orthodox,1.0,27.0,3.26,36.0,0.84,16.0,1.7,Middleweight,40.0
1893,Bret Bergmark,175.26,77,73,Orthodox,2.78,52.0,2.78,37.0,4.17,50.0,4.2,Middleweight,100.0
1894,Mason Fowler,180.34,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1895,Joe Ray,180.03,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1896,Abdul Razak Alhassan,177.8,77,73,Orthodox,4.54,48.0,5.11,53.0,0.72,42.0,0.0,Middleweight,28.0
1897,Vernon Ramos Ho,167.64000000000001,77,73,Orthodox,4.0,25.0,8.0,55.0,0.0,60.38,0.0,Middleweight,47.04
1898,Chris Spang,187.96,77,73,Orthodox,1.83,36.0,1.95,60.0,0.0,50.0,0.9,Middleweight,47.04
1899,Tommy Speer,177.8,77,71,Orthodox,2.56,51.0,5.12,35.0,2.02,33.0,0.0,Middleweight,33.0
1900,Joe Benoit,175.26,77,73,Orthodox,0.0,43.02,0.0,100.0,0.0,60.38,0.0,Middleweight,47.04
1901,Jeremy Jackson,177.8,77,73,Orthodox,0.71,27.0,2.03,25.0,1.52,58.0,0.0,Middleweight,40.0
1902,Demian Maia,185.42,77,72,Southpaw,1.82,43.0,2.03,63.0,2.55,61.0,1.0,Middleweight,26.0
1903,Steve Byrnes,182.88,77,73,Orthodox,1.2,51.0,2.67,27.0,3.0,60.38,4.0,Middleweight,60.0
1904,Chris Lytle,180.34,77,68,Southpaw,3.76,45.0,3.03,58.0,0.7,55.0,2.4,Middleweight,55.0
1905,William Macario,180.34,77,75,Southpaw,4.92,54.0,3.96,65.0,1.85,78.0,0.0,Middleweight,45.0
1906,Seth Baczynski,190.5,77,75,Orthodox,3.08,31.0,3.14,51.0,0.89,48.0,0.8,Middleweight,16.0
1907,Matt Hughes,175.26,77,73,Switch,2.14,53.0,1.36,53.0,2.95,35.0,1.2,Middleweight,50.0
1908,Niko Price,182.88,77,76,Orthodox,5.33,41.0,5.83,49.0,0.89,72.0,0.9,Middleweight,22.0
1909,Rory Markham,182.88,77,71,Orthodox,1.98,21.0,10.27,45.0,0.0,60.38,0.0,Middleweight,47.04
1910,Jon Manley,185.42,77,73,Orthodox,1.13,20.0,4.33,45.0,1.0,20.0,0.0,Middleweight,7.0
